PLATE,CH_CODE,ENDO_DATE,CLIENT,CAR_MODEL,PLATE_NUMBER_NORMALIZED
C2R208,01RBA2404-1,4/3/24,ROB AUTO,2019 FORD RANGER 2.0L RAPTOR BI-TURBO,C2R208
Y0V029,01RBA2404-4,4/3/24,ROB AUTO,2022 MITSUBISHI XPANDER CROSS AT,Y0V029
Y0V019,01RBA2404-4,4/3/24,ROB AUTO,2022 MITSUBISHI XPANDER CROSS AT,Y0V019
Y0V039,01RBA2404-4,4/3/24,ROB AUTO,2022 MITSUBISHI XPANDER CROSS AT,Y0V039
B7-B420,01RBA2404-12,4/17/24,ROB AUTO,2019 MITSUBISHI MIRAGE G4 G4 1.2L GLX M/T,B7B420
Y2T418,01RBA2404-14,4/17/24,ROB AUTO,2023  MITSUBISHI Strada GLS 2WD AT,Y2T418
T0S 964,01RBA2404-15,4/17/24,ROB AUTO,2022 GEELY COOLRAY SPORT 1.5L AT,T0S964
F4T092,01RBA2404-16,4/17/24,ROB AUTO,2022 NISSAN NAVARA 4X4 AT PRO 4X,F4T092
Z4F881,01RBA2404-18,4/17/24,ROB AUTO,2023 TOYOTA Hilux 2.4 4X2 e DSL MT,Z4F881
K1 U300,01RBA2404-19,4/17/24,ROB AUTO,2020 HYUNDAI H-100 2.5 CRDI GL 6 MT SHUTTLE BODY W/ DUAL AC,K1U300
E3Z472,01RBA2404-20,4/17/24,ROB AUTO,2023 HONDA BR-V 1.5 S CVT,E3Z472
Y0Y840,01RBA2404-21,4/17/24,ROB AUTO,2022 MITSUBISHI XPANDER CROSS AT,Y0Y840
W0-B891,01RBA2404-23,4/17/24,ROB AUTO,2022 CHEVROLET Trax 1.4 6AT LT,W0B891
F5G342,01RBA2404-24,4/17/24,ROB AUTO,2022 NISSAN NAVARA 4X2 VE AT,F5G342
C3 R724,01RBA2404-25,4/17/24,ROB AUTO,2021 FORDTERRITORY1.5L TITANIUM AT,C3R724
P6K374,01RBA2404-26,4/17/24,ROB AUTO,2020 TOYOTA FORTUNER 4x2 V 2.4 Dsl A/T,P6K374
E3G921,01RBA2404-27,4/17/24,ROB AUTO,2022 HONDA BR-V 1.5 S CVT,E3G921
F4M203,01RBA2404-28,4/17/24,ROB AUTO,2021 NISSAN NAVARA 2.5 4X2 VE CALIBRE AT,F4M203
EAD9855,03RBA2402-2,2/25/24,ROB AUTO,Mitsubishi Xpander  GLS SPO WAGON 2019,EAD9855
EAD4529,03RBA2402-3,2/25/24,ROB AUTO,Mitsubishi Xpander  GLS SPO WAGON 2019,EAD4529
K0X719,01RBA2404-32,4/25/24,ROB AUTO,2019 HYUNDAI Accent 1.4 GL MT W/O SRS,K0X719
P6E827,01RBA2404-33,4/25/24,ROB AUTO,2020 TOYOTA HIACE SG ELITE 2T,P6E827
205198,01RBA2404-36,4/25/24,ROB AUTO,MITSUBISHI MIRAGE G4 GLX 1.2G CVT 2015,205198
NM-2153,01RBA2404-37,4/25/24,ROB AUTO,2016 MITSUBISHI STRADA GLX 4X2 MT,NM2153
MS4151,01RBA2404-38,4/25/24,ROB AUTO,2017 HYUNDAI Accent 1.4E MT,MS4151
B5 R746,01RBA2404-41,4/25/24,ROB AUTO,2019 MITSUBISHI MIRAGE G4 G4 1.2G GLS CVT (A/T),B5R746
B4X854,01RBA2404-42,4/25/24,ROB AUTO,2019 MITSUBISHI MIRAGE G4 G4 1.2G GLS CVT (A/T),B4X854
A3S713,01RBA2404-43,4/25/24,ROB AUTO,2018 TOYOTA Hilux 2.4 4X2 G DSL AT,A3S713
VQ1214,01RBA2404-45,4/25/24,ROB AUTO,2017 TOYOTA Vios 1.3 E MT,VQ1214
IL2472,01RBA2404-47,4/25/24,ROB AUTO,2016 FORD NEW RANGER 2.2L XLT 4X2 MT,IL2472
NT2681,01RBA2404-48,4/25/24,ROB AUTO,2017 MITSUBISHI Adventure GLS SPT 2.5D MT,NT2681
B4M537,01RBA2404-49,4/25/24,ROB AUTO,2018 MITSUBISHI MIRAGE G4 G4 1.2G GLX MT,B4M537
P1K303,01RBA2404-50,4/25/24,ROB AUTO,2019 TOYOTA Vios 1.3 E AT,P1K303
MS4902,01RBA2404-51,4/25/24,ROB AUTO,2017 HYUNDAI Elantra 1.6 GL AT,MS4902
K1H066,01RBA2404-52,4/25/24,ROB AUTO,2019 HYUNDAI REINA 1.4 GL AT,K1H066
B3L152,01RBA2404-53,4/25/24,ROB AUTO,2018 MITSUBISHI Montero SPT GLX 2.4D 2WD MT,B3L152
F1O402,01RBA2405-3,5/20/24,ROB AUTO,2018 NISSAN Navarra NP300 2.5L EL CALIBRE A/T 4X,F1O402
B7P446,01RBA2405-5,5/20/24,ROB AUTO,2020 MITSUBISHI MIRAGE G4 G4 1.2G GLX CVT (A/T),B7P446
P6J594,01RBA2405-7,5/20/24,ROB AUTO,2020 TOYOTA Wigo 1.0 G AT,P6J594
B4C415,01RBA2405-8,5/20/24,ROB AUTO,2018  MITSUBISHI Strada GLS 2.4L 2WD AT,B4C415
S3X021,01RBA2405-9,5/20/24,ROB AUTO,2022 TOYOTA Rush 1.5 G AT,S3X021
M0 D821,01RBA2405-10,5/20/24,ROB AUTO,2020 JEEP COMPASS LONGITUDE 1.4L MULTI AIR TURBO,M0D821
B5 S227,01RBA2405-11,5/20/24,ROB AUTO,2019 MITSUBISHI MIRAGE G4 G4 1.2G GLX CVT (A/T),B5S227
C3N766,01RBA2406-1,6/7/24,ROB AUTO,2021 FORD RANGER RAPTOR 2.0L 4X4 AT,C3N766
B4B900,01RBA2406-2,6/7/24,ROB AUTO,2018 MITSUBISHI MONTERO SPORT GLS 2.4D 2WD A/T,B4B900
EOS601,01RBA2406-3,6/7/24,ROB AUTO,2018 HONDA BR-V 1.5 V Navi CVT,EOS601
B8B078,01RBA2406-4,6/7/24,ROB AUTO,2020 MITSUBISHI L300 C/C 2.2D MT-20MY FB BODY,B8B078
C3Z786,01RBA2406-5,6/7/24,ROB AUTO,2022 FORD TERRITORY 1.5L AT ECOBOOST TITANIUM+AT,C3Z786
B7Y570,01RBA2406-6,6/7/24,ROB AUTO,2020 MITSUBISHI MIRAGE G4,B7Y570
B9J170,01RBA2406-7,6/7/24,ROB AUTO,2022 MITSUBISHI MIRAGE G4 G4 1.2G GLX CVT (A/T),B9J170
MT6210,01RBA2406-8,6/7/24,ROB AUTO,2018 HYUNDAI Accent 1.4E MT,MT6210
B7H422,01RBA2406-9,6/7/24,ROB AUTO,2020 MITSUBISHI MIRAGE G4 GLX 1.2 G MT,B7H422
G1L797,01RBA2406-10,6/7/24,ROB AUTO,2019 SUZUKI ERTIGA GL 1.5L AT,G1L797
B6U172,01RBA2406-11,6/7/24,ROB AUTO,2019 MITSUBISHI XPANDER GLS 1.5G 2WD AT,B6U172
OY3818,01RBA2406-12,6/7/24,ROB AUTO,2017 CHEVROLET Colorado 2.5 6MT 4x2 LT,OY3818
B5 Y602,01RBA2406-14,6/7/24,ROB AUTO,2019 MITSUBISHI XPANDER GLS 1.5G 2WD AT,B5Y602
G1M113,01RBA2406-15,6/7/24,ROB AUTO,2019 SUZUKI ERTIGA GL 1.5L AT,G1M113
B3W823,01RBA2406-17,6/7/24,ROB AUTO,2018 MITSUBISHI Mirage G4 G4 1.2G GLX MT,B3W823
A4V344,01RBA2406-18,6/7/24,ROB AUTO,2018 TOYOTA Hilux 2.4 4X2 G DSL AT,A4V344
C3 A730,01RBA2406-19,6/7/24,ROB AUTO,2021 FORD TERRITORY 1.5L TITANIUM AT,C3A730
C1L838,01RBA2406-20,6/7/24,ROB AUTO,2018 FORD Ranger 2.2L Wildtrak 4x4 6AT,C1L838
JM5486,01RBA2406-21,6/7/24,ROB AUTO,2018 HINO XZU342L-M 4x2 6-Wheel Cab&Chassis w/ Composite Aluminum Van,JM5486
JM5486,01RBA2406-22,6/7/24,ROB AUTO,2018 HINO XZU342L-M 4x2 6-Wheel Cab&Chassis w/ Composite Aluminum Van,JM5486
Z1S255,01RBA2406-23,6/7/24,ROB AUTO,2023 TOYOTA Wigo 1.0 G AT,Z1S255
S4S455,01RBA2406-24,6/7/24,ROB AUTO,2022 TOYOTA HI ACE COMMUTER DELUXE 2.8 DSL,S4S455
WE55581,01RBA2406-25,6/7/24,ROB AUTO,2019 CHEVROLET Colorado 2.8 6MT 4x4 LTZ,WE55581
NT1297,01RBA2406-26,6/7/24,ROB AUTO,2017  MITSUBISHI  Mirage G4  G4 1.2L GLX CVT,NT1297
K0 V244,01RBA2406-28,6/7/24,ROB AUTO,2019 HYUNDAI REINA 1.4 GL AT,K0V244
P6C816,01RBA2406-29,6/7/24,ROB AUTO,2020 TOYOTA FORTUNER 4x4 V 2.8 Dsl A/T,P6C816
E1N683,01RBA2406-30,6/7/24,ROB AUTO,2019 HONDA BR-V 1.5V NAVI CVT,E1N683
B7D533,01RBA2406-33,6/7/24,ROB AUTO,2020 MITSUBISHI MIRAGE G4 G4 1.2G GLX MT,B7D533
F2P600,01RBA2406-34,6/7/24,ROB AUTO,2019 NISSAN NAVARA 2.5L 4X2 EL CALIBRE 7AT,F2P600
VG6377,01RBA2406-36,6/7/24,ROB AUTO,2016 TOYOTA Avanza 1.5 G MT,VG6377
B3Z254,01RBA2406-37,6/7/24,ROB AUTO,2018 MITSUBISHI Strada 2.4L 2WD AT,B3Z254
NS7925,01RBA2406-39,6/7/24,ROB AUTO,2017 MITSUBISHI Mirage G4 G4 1.2L GLX CVT,NS7925
MR9590,01RBA2406-40,6/7/24,ROB AUTO,2017 HYUNDAI Accent 1.6 HB E CRDI VGT Dsl AT,MR9590
F2C515,01RBA2406-43,6/21/24,ROB AUTO,2019 NISSAN Navara 2.5L 2WD EL 7AT CALIBRE MC,F2C515
B4S404,01RBA2406-44,6/21/24,ROB AUTO,2019 MITSUBISHI Strada GLX 2.5D 2WD MT,B4S404
B4N630,01RBA2406-45,6/21/24,ROB AUTO,2018 MITSUBISHI MIRAGE G4 G4 1.2L GLX CVT,B4N630
S0Q445,01RBA2406-47,6/21/24,ROB AUTO,2021 TOYOTA Vios 1.3 XLE CVT,S0Q445
C3T446,01RBA2406-48,6/21/24,ROB AUTO,2022 FORD TERRITORY 1.5L ECOBOOST TITANIUM + C,C3T446
Y2X840,01RBA2406-49,6/21/24,ROB AUTO,2023 MITSUBISHI MIRAGE G4G4 1.2G GLX CVT (A/T),Y2X840
B1N102,01RBA2406-50,6/21/24,ROB AUTO,2017 MITSUBISHI Adventure GLS SPT 2.5D MT,B1N102
B4X380,01RBA2406-51,6/21/24,ROB AUTO,2019 MITSUBISHI MIRAGE G4 G4 1.2G GLS CVT (A/T),B4X380
MT0760,01RBA2406-53,6/21/24,ROB AUTO,2017 HYUNDAI Accent 1.4 GL MT,MT0760
B0R696,01RBA2406-54,6/21/24,ROB AUTO,2017 MITSUBISHI Mirage G4 G4 1.2L GLX CVT,B0R696
K0 K535,01RBA2406-55,6/21/24,ROB AUTO,2019 HYUNDAI KONA 2.0 GLS 6AT 2WD,K0K535
G0F367,01RBA2406-56,6/21/24,ROB AUTO,2018 SUZUKI Ciaz 1.4GL AT,G0F367
B4V020,01RBA2406-57,6/21/24,ROB AUTO,2018 MITSUBISHI MIRAGE G4 G4 1.2G GLX MT,B4V020
K1X356,01RBA2406-58,6/21/24,ROB AUTO,2020 HYUNDAI  REINA 1.4 GL 5MT WITH AVN,K1X356
W0-R622,01RBA2407-2,7/22/24,ROB AUTO,2022 MG ZS 1.5 NA 4 AT STYLE,W0R622
O0E646,01RBA2407-3,7/22/24,ROB AUTO,2018 MAZDA Mazda 3 SDN 1.5 AT IPM,O0E646
B4X037,01RBA2407-4,7/22/24,ROB AUTO,2019 MITSUBISHI MIRAGE G4 G4 1.2G GLX CVT (A/T),B4X037
A0G173,01RBA2407-5,7/22/24,ROB AUTO,2017 TOYOTA Fortuner 2.5 4X2 V DSL AT,A0G173
B4J150,01RBA2407-6,7/22/24,ROB AUTO,2019 MITSUBISHI XPANDER GLS SPORT 1.5G 2WD AT,B4J150
B3Y014,01RBA2407-7,7/22/24,ROB AUTO,2018 MITSUBISHI G4 1.2G GLX CVT (A/T),B3Y014
Y4D581,01RBA2407-8,7/22/24,ROB AUTO,2023 MITSUBISHI MIRAGE G4 G4 1.2G GLX CVT (A/T),Y4D581
C1L262,01RBA2407-9,7/22/24,ROB AUTO,2018 FORD Ranger 3.2L Wildtrak 4x4 6MT,C1L262
P0E541,01RBA2407-10,7/22/24,ROB AUTO,2019 TOYOTA Fortuner2.4L 4X2 G DSL AT,P0E541
Y0T045,01RBA2407-11,7/22/24,ROB AUTO,2023 MITSUBISHI Strada GLS 2.4D 2WD AT,Y0T045
F1F691,01RBA2407-12,7/22/24,ROB AUTO,2019 NISSAN Nissan Terra 2.5 4X2 VE AT,F1F691
